Row	Column	Assay	Sample		Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
11	33	AY106	8B-rep1		-1	28.89117	77.49051		0.9999224	19646.15	0.6266453	2.030834	FALSE	FALSE	FALSE	3.70E-07										9	7697.161	1.299471	31.60252	13474.23	-12.65644	2.750546		
11	34	AY106	8B-rep2														NoAmplification																	
11	35	AY106	8B-rep3		-1	28.52077	77.3052		0.9997048	45872.65	0.623638	1.920539	FALSE	FALSE	FALSE	2.02E-06										5	6029.894	1.401305	31.36623	10607	-25.86002	2.759069		
20	24	AY107	1A-rep1														NoAmplification																	
20	25	AY107	1A-rep2														NoAmplification																	
20	26	AY107	1A-rep3														NoAmplification																	
20	30	AY107	5B-rep1														NoAmplification																	
20	31	AY107	5B-rep2		-1	28.64862	78.05148		0.9999176	15777.78	0.6463503	1.966603	FALSE	FALSE	FALSE	9.85E-07										10	7969.768	1.356112	31.43457	11486.34	-3.384417	2.441238		
20	32	AY107	5B-rep3		-1	27.43386	77.94767		0.9997326	45731.66	0.6918264	1.961583	FALSE	FALSE	FALSE	2.39E-06										11	8457.343	1.360839	30.22602	10565.47	-1.982726	2.249265		
20	33	AY107	8B-rep1														NoAmplification																	
20	34	AY107	8B-rep2														NoAmplification																	
20	35	AY107	8B-rep3														NoAmplification																	
29	24	AY108	1A-rep1														NoAmplification																	
29	25	AY108	1A-rep2														NoAmplification																	
29	26	AY108	1A-rep3														NoAmplification																	
29	30	AY108	5B-rep1		-1	25.48296	81.44975		0.9986566	110091	0.7488147	1.713773	FALSE	FALSE	FALSE	0.000291699	LowEfficiency									11	7656.858	1.671561	28.68433	8270.227	-7.873452	2.080107		
29	31	AY108	5B-rep2		-1	24.82306	81.5271		0.9997749	32172.09	0.7828299	2.049933	FALSE	FALSE	FALSE	4.78E-06										7	8945.679	1.283887	27.51389	9697.569	13.55979	2.084051		
29	32	AY108	5B-rep3		-1	25.21344	81.41789		0.9991057	71999.28	0.7528579	1.816493	FALSE	FALSE	FALSE	6.70E-05	SaturationBaselineRatioIsLow									16	9577.361	1.521036	28.21658	7634.614	-17.10661	1.797152		
29	33	AY108	8B-rep1														NoAmplification																	
29	34	AY108	8B-rep2														NoAmplification																	
29	35	AY108	8B-rep3														CtIsLarge. CurveFitFailed																	
38	24	AY109	1A-rep1														NoAmplification																	
38	25	AY109	1A-rep2														NoAmplification																	
38	26	AY109	1A-rep3														NoAmplification																	
38	30	AY109	5B-rep1		-1	29.34721	81.5671		0.9999878	3390.817	0.6174256	1.913796	FALSE	FALSE	FALSE	1.59E-06										13	7176.392	1.408281	32.20186	13535.48	-2.581735	2.886112		
38	31	AY109	5B-rep2		-1	28.48747	81.59219		0.99998	4703.467	0.6605303	1.914425	FALSE	FALSE	FALSE	2.70E-06										15	7080.94	1.407627	31.34125	12607.28	4.097347	2.780453		
38	32	AY109	5B-rep3		-1	34.41328	82.61092		0.9999711	2563.88	0.4019954	1.905657	FALSE	FALSE	FALSE	4.27E-08	CtIsLarge									10	7642.964	1.416831	37.27918	11417.04	-1.043546	2.493798		
38	33	AY109	8B-rep1														NoAmplification																	
38	34	AY109	8B-rep2		-1	31.3889	82.53197		0.9999749	6523.268	0.5091503	1.919195	FALSE	FALSE	FALSE	3.31E-07	CtIsLarge									12	5650.505	1.402688	34.23618	13159.98	-4.469246	3.328993		
38	35	AY109	8B-rep3														NoAmplification																	
18	24	AY11	1A-rep1														NoAmplification																	
18	25	AY11	1A-rep2														NoAmplification																	
18	26	AY11	1A-rep3														NoAmplification																	
18	30	AY11	5B-rep1		-1	24.2234	82.47635		0.9997485	46638.05	0.7811059	1.829059	FALSE	FALSE	FALSE	0.000160465										12	7048.666	1.505065	27.20551	11367.68	-11.25955	2.612742		
18	31	AY11	5B-rep2		-1	24.3281	82.37618		0.9998798	21153.9	0.7798101	1.834303	FALSE	FALSE	FALSE	0.000136378										16	7058.512	1.498535	27.30161	11145.44	-7.013419	2.579007		
18	32	AY11	5B-rep3		-1	23.78953	82.39065		0.9997978	23545.43	0.7935089	1.834499	FALSE	FALSE	FALSE	0.000167876										18	7881.565	1.498294	26.76272	9603.142	-2.719261	2.218431		
18	33	AY11	8B-rep1														NoAmplification																	
18	34	AY11	8B-rep2														NoAmplification																	
18	35	AY11	8B-rep3														NoAmplification																	
47	24	AY110	1A-rep1														NoAmplification																	
47	25	AY110	1A-rep2														NoAmplification																	
47	26	AY110	1A-rep3														NoAmplification																	
47	30	AY110	5B-rep1		-1	27.37437	84.307		0.9999086	28813.74	0.6955211	1.967068	FALSE	FALSE	FALSE	3.09E-06										12	6171.518	1.355677	30.15974	14175.14	1.03626	3.296864		
47	31	AY110	5B-rep2		-1	27.27858	84.97961		0.9997594	55636.91	0.7031343	2.047139	FALSE	FALSE	FALSE	8.82E-07										17	8256.516	1.286134	29.97237	11655.06	8.618229	2.41162		
47	32	AY110	5B-rep3		-1	28.11142	84.84692		0.9999494	7164.105	0.6553946	1.975741	FALSE	FALSE	FALSE	1.19E-06										5	8403.294	1.347626	30.88618	10681.91	-16.76605	2.271157		
47	33	AY110	8B-rep1														NoAmplification																	
47	34	AY110	8B-rep2														NoAmplification																	
47	35	AY110	8B-rep3														NoAmplification																	
56	24	AY111	1A-rep1														NoAmplification																	
56	25	AY111	1A-rep2														NoAmplification																	
56	26	AY111	1A-rep3														NoAmplification																	
56	30	AY111	5B-rep1		-1	25.23257	86.34587		0.9999616	9661.326	0.7588731	1.949091	FALSE	FALSE	FALSE	1.67E-05										10	7302.023	1.372805	28.0405	12383.83	13.90601	2.695945		
56	31	AY111	5B-rep2		-1	25.26861	86.36625		0.9999505	11313.21	0.7586163	1.92286	FALSE	FALSE	FALSE	2.25E-05										13	7087.363	1.398926	28.11093	11981.96	10.10229	2.690609		
56	32	AY111	5B-rep3		-1	25.19711	86.24338		0.9999638	5048.335	0.7598315	1.962271	FALSE	FALSE	FALSE	1.21E-05										10	8062.507	1.360188	27.98842	10431.74	11.44092	2.293858		
56	33	AY111	8B-rep1		-1	30.44487	86.037		0.9999366	13963.97	0.5479208	1.891801	FALSE	FALSE	FALSE	9.62E-07	CtIsLarge									7	6366.201	1.431728	33.33039	12403.11	-10.67511	2.948275		
56	34	AY111	8B-rep2		-1	30.95216	86.25928		0.9999361	11171.74	0.522714	1.874668	FALSE	FALSE	FALSE	8.68E-07	CtIsLarge									6	6013.34	1.450764	33.86275	11899.01	-7.206574	2.978768		
56	35	AY111	8B-rep3		-1	32.66094	86.31545		0.9999619	6865.714	0.4479321	1.899765	FALSE	FALSE	FALSE	1.64E-07	CtIsLarge									15	6636.132	1.423113	35.53512	11442.75	-5.047371	2.72431		
65	24	AY112	1A-rep1														NoAmplification																	
65	25	AY112	1A-rep2														NoAmplification																	
65	26	AY112	1A-rep3														NoAmplification																	
65	30	AY112	5B-rep1														CurveFitFailed																	
65	31	AY112	5B-rep2		-1	26.78232	83.01831		0.9999636	6483.3	0.7122391	1.876223	FALSE	FALSE	FALSE	1.49E-05										9	8535.618	1.449007	29.6906	11802.51	-15.21762	2.382736		
65	32	AY112	5B-rep3		-1	29.00704	82.83298		0.9999723	3903.16	0.6180139	1.873369	FALSE	FALSE	FALSE	3.09E-06										10	8908.738	1.452237	31.91957	10865.02	-12.6284	2.219591		
65	33	AY112	8B-rep1														NoAmplification																	
65	34	AY112	8B-rep2														NoAmplification																	
65	35	AY112	8B-rep3														CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed																	
2	12	AY113	1A-rep1														NoAmplification																	
2	13	AY113	1A-rep2														NoAmplification																	
