Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
29	12	AY116	5C-rep1	-1	32.26	80.35	1.95	CtIsLarge. MultipleMeltPeaks
29	13	AY116	5C-rep2	-1	31.51	88.75	2.11	CtIsLarge
29	14	AY116	5C-rep3	-1	28.55	84.06	1.96	
38	12	AY117	4B-rep1	-1	30.83	88.39	1.85	CtIsLarge
38	13	AY117	4B-rep2	-1	30.66	88.15	1.87	CtIsLarge
38	14	AY117	4B-rep3	-1	32.05	88.33	1.83	CtIsLarge
38	15	AY117	4C-rep1	-1	28.01	88.07	1.91	MultipleMeltPeaks
38	16	AY117	4C-rep2	-1	30.97	88.37	1.83	CtIsLarge
38	17	AY117	4C-rep3	-1	30.94	88.33	1.86	CtIsLarge
38	21	AY117	5A-rep1	-1	28.85	76.53	1.94	MultipleMeltPeaks
38	22	AY117	5A-rep2	-1	32.45	88.38	1.82	CtIsLarge
38	23	AY117	5A-rep3	-1	28.48	76.73	1.89	MultipleMeltPeaks
38	12	AY117	5C-rep1	-1	31.34	88.65	1.87	CtIsLarge
38	13	AY117	5C-rep2	-1	30	88.83	1.87	CtIsLarge
38	14	AY117	5C-rep3	-1	29.55	88.84	1.91	CtIsLarge
47	12	AY118	4B-rep1	-1				NoAmplification
47	13	AY118	4B-rep2	-1				NoAmplification
47	14	AY118	4B-rep3	-1				CurveFitFailed
47	15	AY118	4C-rep1	-1				NoAmplification
47	16	AY118	4C-rep2	-1				CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed
47	17	AY118	4C-rep3	-1				NoAmplification
47	21	AY118	5A-rep1	-1	29.28	83.3	1.9	
47	22	AY118	5A-rep2	-1	28.76	83.27	1.9	
47	23	AY118	5A-rep3	-1				CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed
47	12	AY118	5C-rep1	-1				CtIsLarge. CurveFitFailed
47	13	AY118	5C-rep2	-1				CurveFitFailed
47	14	AY118	5C-rep3	-1	29.17	83.7	1.9	
56	12	AY119	4B-rep1	-1	30.16	88.06	1.79	LowEfficiency. CtIsLarge
56	13	AY119	4B-rep2	-1	30.2	88.15	1.81	CtIsLarge
56	14	AY119	4B-rep3	-1	29.18	88.08	1.82	MultipleMeltPeaks
56	15	AY119	4C-rep1	-1	27.7	88.05	1.79	LowEfficiency
56	16	AY119	4C-rep2	-1	27.48	88.05	1.88	
56	17	AY119	4C-rep3	-1	28.3	88.16	1.81	
56	21	AY119	5A-rep1	-1	29.45	88.57	2.01	MultipleMeltPeaks
56	22	AY119	5A-rep2	-1	29.84	87.74	1.96	CtIsLarge
56	23	AY119	5A-rep3	-1	29.79	87.96	1.99	CtIsLarge
56	12	AY119	5C-rep1	-1	30.15	88.12	1.88	CtIsLarge. MultipleMeltPeaks
56	13	AY119	5C-rep2	-1	28.81	88.39	1.94	
56	14	AY119	5C-rep3	-1	30.03	88.56	1.97	CtIsLarge
27	24	AY12	4B-rep1	-1	34.33	83.07	1.88	CtIsLarge
27	25	AY12	4B-rep2	-1				CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed
27	26	AY12	4B-rep3	-1				CtIsLarge. CurveFitFailed
27	27	AY12	4C-rep1	-1				CtIsLarge. CurveFitFailed
27	28	AY12	4C-rep2	-1				CtIsLarge. CurveFitFailed
27	29	AY12	4C-rep3	-1	28.57	86.1	1.87	MultipleMeltPeaks
27	33	AY12	5A-rep1	-1	34.48	82.65	1.88	CtIsLarge. MultipleMeltPeaks
27	34	AY12	5A-rep2	-1	29.53	80.37	1.88	CtIsLarge. MultipleMeltPeaks
27	35	AY12	5A-rep3	-1				CtIsLarge. CurveFitFailed
27	24	AY12	5C-rep1	-1	30.07	83.49	1.84	CtIsLarge
27	25	AY12	5C-rep2	-1	34.72	83.13	1.82	CtIsLarge
27	26	AY12	5C-rep3	-1				CtIsLarge. CurveFitFailed
65	12	AY120	4B-rep1	-1	23.44	80.1	1.98	
65	13	AY120	4B-rep2	-1	22.77	80.04	1.96	
65	14	AY120	4B-rep3	-1	21.8	80.23	1.96	
65	15	AY120	4C-rep1	-1	21.03	80.13	1.97	
65	16	AY120	4C-rep2	-1	21.02	80.22	1.97	
65	17	AY120	4C-rep3	-1	21.22	80.23	1.94	
65	21	AY120	5A-rep1	-1	19.39	79.96	1.96	
65	22	AY120	5A-rep2	-1	19.19	79.93	1.95	
65	23	AY120	5A-rep3	-1	19.09	79.93	1.98	
65	12	AY120	5C-rep1	-1	21.27	80.42	2	
65	13	AY120	5C-rep2	-1	20.94	80.45	2	
65	14	AY120	5C-rep3	-1	19.4	80.43	1.99	
2	36	AY121	4B-rep1	-1	30.03	88.88	1.89	CtIsLarge
2	37	AY121	4B-rep2	-1	28.77	88.33	1.88	
2	38	AY121	4B-rep3	-1	29.41	88.34	1.84	
2	39	AY121	4C-rep1	-1	27.48	87.8	1.86	
2	40	AY121	4C-rep2	-1	28.83	88.74	1.84	
2	41	AY121	4C-rep3	-1	28.29	88.16	1.82	
2	45	AY121	5A-rep1	-1	26.82	88.41	1.83	
2	46	AY121	5A-rep2	-1	26.72	88.7	1.83	
2	47	AY121	5A-rep3	-1	27.05	88.59	1.81	MultipleMeltPeaks
2	36	AY121	5C-rep1	-1	26.68	90.37	1.83	MultipleMeltPeaks
2	37	AY121	5C-rep2	-1	26.59	90.66	1.81	MultipleMeltPeaks
2	38	AY121	5C-rep3	-1	27.16	88.07	1.83	
11	36	AY122	4B-rep1	-1	27.4	76.79	1.96	
11	37	AY122	4B-rep2	-1				NoAmplification
11	38	AY122	4B-rep3	-1	28.2	76.6	1.96	
11	39	AY122	4C-rep1	-1	29.4	76.53	1.98	
11	40	AY122	4C-rep2	-1	28.97	76.63	1.96	
11	41	AY122	4C-rep3	-1	27.67	76.68	1.96	
11	45	AY122	5A-rep1	-1	23.83	76.53	2.04	
11	46	AY122	5A-rep2	-1	23.75	76.58	2.03	
11	47	AY122	5A-rep3	-1	23.84	76.56	2.04	
11	36	AY122	5C-rep1	-1	24.21	76.81	2.04	
11	37	AY122	5C-rep2	-1	23.85	76.72	2.02	
11	38	AY122	5C-rep3	-1	25.17	76.65	2	
20	36	AY123	4B-rep1	-1				NoAmplification
20	37	AY123	4B-rep2	-1				NoAmplification
20	38	AY123	4B-rep3	-1				NoAmplification
20	39	AY123	4C-rep1	-1				NoAmplification
20	40	AY123	4C-rep2	-1				NoAmplification
20	41	AY123	4C-rep3	-1				NoAmplification
20	45	AY123	5A-rep1	-1	29.63	74.82	1.99	CtIsLarge
20	46	AY123	5A-rep2	-1	28.98	73.56	2	
20	47	AY123	5A-rep3	-1				NoAmplification
20	36	AY123	5C-rep1	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed. HighBaseline
20	37	AY123	5C-rep2	-1	28.52	73.58	1.97	
20	38	AY123	5C-rep3	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
29	36	AY124	4B-rep1	-1	25.75	79.24	1.91	MultipleMeltPeaks
29	37	AY124	4B-rep2	-1	25	79.65	1.94	
29	38	AY124	4B-rep3	-1	25.85	78.96	1.95	MultipleMeltPeaks
29	39	AY124	4C-rep1	-1	24.27	79.18	1.94	MultipleMeltPeaks
29	40	AY124	4C-rep2	-1	24.55	79.1	1.92	MultipleMeltPeaks
29	41	AY124	4C-rep3	-1	24.23	79.19	1.95	
